0.0, 0.0, 0.0
0.866, 0.5, 0.1
0.5, 0.866, 0.2
-0.5, 0.866, 0.3
-0.866, 0.5, 0.4
-1.0, 0.0, 0.5
-0.866, -0.5, 0.6
-0.5, -0.866, 0.7
0.5, -0.866, 0.8
0.866, -0.5, 0.9
1.0, 0.0, 1.0
0.866, 0.5, 0.9
0.5, 0.866, 0.8
-0.5, 0.866, 0.7
-0.866, 0.5, 0.6
-1.0, 0.0, 0.5
-0.866, -0.5, 0.4
-0.5, -0.866, 0.3
0.5, -0.866, 0.2
0.866, -0.5, 0.1
1.0, 0.0, 0.0
0.866, 0.5, -0.1
0.5, 0.866, -0.2
-0.5, 0.866, -0.3
-0.866, 0.5, -0.4
-1.0, 0.0, -0.5
-0.866, -0.5, -0.6
-0.5, -0.866, -0.7
0.5, -0.866, -0.8
0.866, -0.5, -0.9
1.0, 0.0, -1.0
0.866, 0.5, -0.9
0.5, 0.866, -0.8
-0.5, 0.866, -0.7
-0.866, 0.5, -0.6
-1.0, 0.0, -0.5
-0.866, -0.5, -0.4
-0.5, -0.866, -0.3
0.5, -0.866, -0.2
0.866, -0.5, -0.1
0.0, 0.0, 0.0
